feedback_id,ticket_id,agent_name,action,status,input_summary,output_summary,error_message,latency_ms,trace_id,created_at
96,,quality_critic,process,success,item=E015,output_key=quality_review,,5387.181917001726,9da2a6e1-f76f-4594-aa7a-be40d1b3a25e,2026-03-25 05:41:22
96,TKT-20260325-040,ticket_creator,process,success,item=E015,output_key=ticket,,8261.50150000467,9da2a6e1-f76f-4594-aa7a-be40d1b3a25e,2026-03-25 05:41:17
96,,feature_extractor,extract,success,"category=Feature Request, source=E015","feature=CSV Task Import, impact=High",,3149.4836249912623,9da2a6e1-f76f-4594-aa7a-be40d1b3a25e,2026-03-25 05:41:09
96,,feature_extractor,process,success,item=E015,output_key=analysis,,3160.1260419993196,9da2a6e1-f76f-4594-aa7a-be40d1b3a25e,2026-03-25 05:41:09
96,,classifier,classify,success,text_length=199,"category=Feature Request, confidence=0.99",,1562.0209999906365,9da2a6e1-f76f-4594-aa7a-be40d1b3a25e,2026-03-25 05:41:04
96,,classifier,process,success,item=E015,output_key=classification,,1570.8823750028387,9da2a6e1-f76f-4594-aa7a-be40d1b3a25e,2026-03-25 05:41:04
95,,quality_critic,process,success,item=E014,output_key=quality_review,,5867.771458986681,9da2a6e1-f76f-4594-aa7a-be40d1b3a25e,2026-03-25 05:41:01
95,TKT-20260325-039,ticket_creator,process,success,item=E014,output_key=ticket,,6266.951458994299,9da2a6e1-f76f-4594-aa7a-be40d1b3a25e,2026-03-25 05:40:55
95,,bug_analyzer,analyze,success,"category=Bug, source=E014","severity=Major, component=Notifications",,4765.875874989433,9da2a6e1-f76f-4594-aa7a-be40d1b3a25e,2026-03-25 05:40:49
95,,bug_analyzer,process,success,item=E014,output_key=analysis,,4775.528083991958,9da2a6e1-f76f-4594-aa7a-be40d1b3a25e,2026-03-25 05:40:49
95,,classifier,classify,success,text_length=258,"category=Bug, confidence=0.98",,1349.2064169840887,9da2a6e1-f76f-4594-aa7a-be40d1b3a25e,2026-03-25 05:40:43
95,,classifier,process,success,item=E014,output_key=classification,,1358.159124996746,9da2a6e1-f76f-4594-aa7a-be40d1b3a25e,2026-03-25 05:40:43
94,,quality_critic,process,success,item=E013,output_key=quality_review,,5473.472249985207,9da2a6e1-f76f-4594-aa7a-be40d1b3a25e,2026-03-25 05:40:40
